Disease,Symptoms,Precautions,Medicines,Prescriptions,Diet Plan,Food Restrictions
Osteoarthritis,"Joint pain (knees, hips, hands); Stiffness (worse in morning); Swelling; Limited range of motion; Crepitus (crackling)","Weight loss (if overweight); Regular low-impact exercise (walking, swimming); Hot/cold therapy; Joint protection techniques; Use assistive devices as needed","Acetaminophen; NSAIDs (Ibuprofen, Naproxen); Topical NSAIDs; Tramadol; Intra-articular corticosteroid","Acetaminophen 500 mg oral QID; Ibuprofen 400 mg oral TID for 4 weeks; Topical diclofenac gel 1% applied to joint BID; Tramadol 50 mg oral TID; Single-dose steroid injection 40 mg IA knee (if indicated)","Weight-bearing exercise (walking, strength training); Omega-3 foods; Fruits and vegetables; Vitamin D and calcium-rich foods; Healthy fats (olive oil)","High-purine foods (if gouty features); High-sodium foods; Saturated fats; Sugary snacks; Excess weight-gain foods"
Rheumatoid Arthritis,"Symmetric joint pain and swelling (hands, wrists, knees); Morning stiffness (>1 hr); Fatigue; Rheumatoid nodules; Low-grade fever","Regular exercise (range-of-motion); Joint protection; Weight control; Smoking cessation; Early rheumatology referral","Methotrexate; Hydroxychloroquine; Sulfasalazine; TNF inhibitors (Etanercept, Adalimumab); Low-dose prednisone","Methotrexate 15 mg once weekly (oral or subcut) for 12 weeks; Hydroxychloroquine 200 mg oral BID; Sulfasalazine 500 mg oral BID; Adalimumab 40 mg SC every 2 weeks; Prednisone 5 mg oral daily (short-term)","Omega-3 fish (anti-inflammatory); Fruits and vegetables; Whole grains; Lean protein; Turmeric/spices (anti-inflammatory)","Processed meats; Refined sugars; Trans fats; Excess alcohol; High-sodium foods"
Osteoporosis,"No early symptoms; Height loss; Kyphosis (hunchback); Fractures from minor trauma (hip, spine, wrist); Back pain (vertebral fracture)","Weight-bearing exercise; Fall prevention (rails, lighting); Adequate calcium and vitamin D; Limit alcohol and tobacco; Bone density screening","Calcium supplements; Vitamin D supplements; Bisphosphonates (Alendronate); Raloxifene; Denosumab","Calcium carbonate 1000 mg oral once daily; Vitamin D3 1000 IU oral once daily; Alendronate 70 mg oral once weekly; Raloxifene 60 mg oral once daily; Denosumab 60 mg SC every 6 months","Calcium-rich foods (dairy, leafy greens); Vitamin D-rich foods (fish, fortified milk); Protein (fish, chicken); Whole grains; Fruits","High-sodium diets; Excess caffeine; Alcohol in excess; Carbonated beverages (cola); Processed foods"
HIV/AIDS,"Fever; Fatigue; Weight loss; Night sweats; Recurrent infections (thrush, pneumonia); Lymphadenopathy","Safe sex practices; Needle exchange programs; Regular HIV testing; Antiretroviral adherence; Vaccinate (HBV, pneumococcus)","Antiretroviral therapy (e.g., Tenofovir/Emtricitabine; Dolutegravir; Darunavir; Raltegravir); Prophylactic antibiotics","Bictegravir/Emtricitabine/Tenofovir 1 tablet daily; Darunavir 800 mg + Ritonavir 100 mg daily; Raltegravir 400 mg BID; Trimethoprim/sulfamethoxazole 160/800 mg daily (PCP prophylaxis); Acyclovir 400 mg oral BID (if HSV prophylaxis)","High-protein diet (for weight maintenance); Fresh fruits and vegetables; Whole grains; Adequate calories; Probiotics (yogurt)","Raw/undercooked meat; Unpasteurized dairy; Excess alcohol; High-sugar processed foods; Tobacco"
Tuberculosis,"Persistent cough (>3 weeks); Hemoptysis (coughing blood); Fever and night sweats; Weight loss; Fatigue:contentReference[oaicite:42]{index=42}","BCG vaccination (in endemic areas); Avoid exposure (mask on patients); Ensure good ventilation; Treat latent TB; Regular screening in high-risk","Rifampin; Isoniazid; Pyrazinamide; Ethambutol; Bedaquiline (for resistant TB)","Rifampin 600 mg oral once daily; Isoniazid 300 mg oral once daily + Pyridoxine 25 mg; Pyrazinamide 1500 mg oral once daily; Ethambutol 1200 mg oral once daily; All drugs for 2 months (RIPE), then Rifampin/Isoniazid for 4 more months:contentReference[oaicite:43]{index=43}","""Nutritious diet (calories for weight gain); Protein-rich foods (meat, eggs); Fresh fruits and vegetables; Whole grains; Foods with iron (spinach, lentils)""","Alcohol (due to liver toxicity with meds); High-fat foods (may worsen liver load); Excess sugar; Unpasteurized dairy (risk of other infection); Spicy foods (may worsen gastritis)"
COVID-19,"Fever; Cough; Shortness of breath; Fatigue; Loss of taste or smell; Headache; Muscle aches:contentReference[oaicite:44]{index=44}","Vaccination; Masking; Hand hygiene; Physical distancing; Ventilation (indoor)","Remdesivir; Dexamethasone; Paxlovid (nirmatrelvir/ritonavir); Monoclonal antibodies (if applicable); Antipyretics","Remdesivir 200 mg IV day1 then 100 mg IV daily for 5 days; Dexamethasone 6 mg oral/IV once daily for 10 days; Paxlovid (nirmatrelvir 300 mg/ritonavir 100 mg) oral BID for 5 days (if high-risk); Azithromycin 500 mg oral daily for 3 days (if bacterial coinfection suspected); Zinc sulfate 220 mg oral once daily (supplement)","""Hydration (water, electrolyte drinks); Vitamin C and D-rich foods; Broths; Soft easy-to-eat foods if weak; Fruits (antioxidants)""","Processed foods; Excess sugar; Alcohol; Dairy (if mucus worsens); Smoking"
Influenza,"Fever; Chills; Cough; Sore throat; Runny nose; Muscle aches; Headache; Fatigue","Annual flu vaccination; Hand washing; Avoid close contact when sick; Healthy lifestyle (sleep, diet); Clean surfaces","Oseltamivir; Zanamivir; Peramivir; Analgesics (acetaminophen); Hydration","Oseltamivir 75 mg oral BID for 5 days:contentReference[oaicite:45]{index=45}; Zanamivir 10 mg inhaled BID for 5 days; Peramivir 600 mg IV once; Acetaminophen 500–650 mg oral Q6hr PRN for fever; Dextromethorphan 30 mg oral QID for cough","Hydration (clear broths, water); Vitamin C foods (citrus fruits); Chicken soup (warm liquids); Soft bland foods; Probiotics (yogurt)","Alcohol (can impair immunity); Tobacco; Excess sugar; Highly processed foods; Raw/undercooked foods"
Pneumonia,"Cough with sputum; Fever; Chills; Chest pain (pleuritic); Shortness of breath; Fatigue","Vaccinate (pneumococcal, influenza); Hand hygiene; Avoid smoking; Healthy nutrition; Treat underlying conditions","Amoxicillin; Azithromycin; Ceftriaxone; Levofloxacin; Doxycycline (atypicals)","Amoxicillin 1 g oral TID for 7 days; Azithromycin 500 mg oral once then 250 mg daily for 4 days; Ceftriaxone 1 g IV daily for 5–7 days; Levofloxacin 750 mg oral once daily for 5 days; Doxycycline 100 mg oral BID for 5 days","Whole grains; Fruits (vitamin C); Lean protein (chicken, fish); Garlic (antimicrobial); Probiotics","Smoking; Alcohol; Dairy (may thicken secretions); Fried fatty foods; Sugary drinks"
Chronic Kidney Disease,"Fatigue; Edema (legs, face); Hypertension; Proteinuria; Uremic symptoms (nausea, anorexia, itching)","Control blood pressure (ACEI/ARB):contentReference[oaicite:46]{index=46}; Control diabetes; Avoid nephrotoxins (NSAIDs); Low-protein diet (if advanced); Stay hydrated","ACE inhibitors (Lisinopril); ARBs (Losartan); Diuretics (Furosemide); Erythropoiesis-stimulating agents; Phosphate binders (Sevelamer)","Lisinopril 10 mg oral once daily; Losartan 50 mg oral once daily; Furosemide 40 mg oral BID; Epoetin alfa 50 IU/kg SC thrice weekly (if anemia); Sevelamer 800 mg oral TID with meals","Low-sodium diet; Adequate calories with lean protein; High-fiber fruits/vegetables; Limit potassium foods (if CKD stage>3); Calcium-rich foods","""High-sodium foods; Processed meats; Potassium-rich foods (bananas, tomatoes if hyperkalemia); Dairy (if phosphate); Excess protein from red meat"""
Liver Cirrhosis,"Fatigue; Jaundice; Ascites (abdominal swelling); Edema (legs); Easy bruising; Hepatic encephalopathy (confusion)","""Avoid alcohol; Hepatitis vaccinations (A,B); Manage body weight; Avoid NSAIDs; Regular screening (ultrasound for HCC)""","Diuretics (Spironolactone); Beta-blockers (Propranolol for varices); Lactulose (encephalopathy); Vitamin K; Antivirals (for hepatitis B/C)","Spironolactone 100 mg oral once daily; Furosemide 40 mg oral once daily; Propranolol 20 mg oral BID; Lactulose 30 mL oral QID (titrate to 2–3 stools/day); Vitamin K 10 mg oral once daily","High-calorie nutrient-rich diet (whole grains, lean protein, fruits); Omega-3 fatty fish; Leafy greens; Nuts/seeds; Plenty of fluids","Smoking; Processed foods high in salt; Dairy (may thicken mucus); Fried and fatty foods; Excess simple carbohydrates"
Hepatitis B,"Many asymptomatic; Fatigue; Jaundice; Abdominal pain; Loss of appetite; Nausea; Dark urine","Vaccination; Safe sex; Avoid sharing needles; Screen high-risk groups; Treat chronic infection","Antivirals (Tenofovir; Entecavir; Lamivudine); Interferon-alpha; Ribavirin (if co-infected HCV); Nutritional supplements","Tenofovir 300 mg oral once daily; Entecavir 0.5 mg oral once daily; Lamivudine 100 mg oral once daily; Peginterferon alfa-2a 180 mcg SC once weekly for 48 weeks; Vitamin D 1000 IU daily","Low-fat diet; Coffee (possibly protective); Foods high in vitamin A/C; Nuts; Whole grains","Alcohol; Raw or undercooked shellfish; Excess salt; High fat foods; Sugary drinks"
Hepatitis C,"Often mild/no early symptoms; Fatigue; Jaundice; Dark urine; Muscle aches; Depression","""Avoid alcohol; Vaccinate for A,B; Safe practices (no needle sharing); Treat with antiviral regimens; Healthy lifestyle""","Direct-acting antivirals (Sofosbuvir; Ledipasvir; Velpatasvir); Ribavirin; Interferon (rare now)","Sofosbuvir/Velpatasvir 400/100 mg oral once daily for 12 weeks; Ledipasvir/Sofosbuvir 90/400 mg oral once daily for 12 weeks; Ribavirin 600 mg oral BID (if indicated); Peginterferon alfa-2a 180 mcg SC once weekly; Vitamin D 1000 IU daily","High-antioxidant foods (berries, leafy greens); Coffee; Lean protein; Whole grains; Adequate hydration","Alcohol; Raw shellfish; Excess sugar; Fried/fast foods; Excess salt"
Hypothyroidism,"Fatigue; Cold intolerance; Weight gain; Constipation; Dry skin; Hair loss; Depression","Levothyroxine therapy adherence; Iodine-sufficient diet; Regular follow-up (TSH levels); Treat autoimmune thyroiditis; Avoid goitrogens if iodine deficient","Levothyroxine; Liothyronine; Desiccated thyroid extract; Calcium supplements (if needed)","Levothyroxine 50–100 µg oral once daily (adjust per TSH); Liothyronine 25 µg oral once daily if needed; Ferrous sulfate (with meals) 325 mg oral once daily (if anemia); Calcium 500 mg oral once daily (if deficiency); Vitamin D 1000 IU oral once daily","Seafood and iodized salt (iodine sources); Whole grains; Fresh fruits and vegetables; Lean protein (poultry); Nuts (selenium source)","Soy (may interfere with absorption); Cruciferous vegetables (in large amounts if iodine-deficient); Excess calcium (with levothyroxine); Iron supplements (separate from thyroid dose); Processed foods high in sodium"
Hyperthyroidism,"Weight loss; Heat intolerance; Palpitations; Tremor; Sweating; Anxiety; Goiter","Regular monitoring; Beta-blockers for symptoms; Radioactive iodine avoidance in pregnancy; Avoid excess iodine (seaweed); Gentle exercise","Methimazole; Propylthiouracil; Beta-blockers (Propranolol); Radioactive iodine therapy; Surgery (thyroidectomy)","Methimazole 10 mg oral TID; Propylthiouracil 50 mg oral QID; Propranolol 20 mg oral QID; Iodine 130 mg oral once daily (Lugol's solution pre-surgery); Calcium 500 mg oral BID (if post-thyroidectomy)","Fresh fruits and vegetables; Whole grains; Lean protein; Dairy (for calcium); Berries (antioxidants)","Iodine-rich foods (iodized salt, kelp); Caffeine (can worsen palpitations); Alcohol; Extremely high-fiber foods (may affect absorption); Excess thyroid hormone supplements"
Iron-Deficiency Anemia,"Fatigue; Pallor; Shortness of breath; Pica (craving ice/dirt); Brittle nails; Headache; Tachycardia","Iron-rich diet; Treat underlying cause (bleeding); Iron supplements adherence; Avoid tea/coffee with meals; Vitamin C to enhance iron absorption","Iron supplements (Ferrous sulfate); Vitamin C; Ferric carboxymaltose (IV iron); Erythropoietin (if CKD); Dietary counseling","Ferrous sulfate 325 mg oral TID (150 mg elemental iron) for 8 weeks; Vitamin C 500 mg oral with each dose; Ferric carboxymaltose 750 mg IV once; Folic acid 1 mg oral once daily (if coexisting folate deficiency); Referral for GI evaluation (if indicated)","Red meat; Leafy greens; Legumes; Fortified cereals; Vitamin C foods (oranges, strawberries)","Tea/coffee with meals; Calcium supplements (2 hr from iron dose); Dairy with iron dose; Phytate-rich foods (unleavened bread); Excess fiber at mealtime"
Sickle Cell Anemia,"Chronic hemolytic anemia; Episodes of pain crisis; Swollen hands/feet; Jaundice; Fatigue; Frequent infections","Hydration; Avoid high altitudes and extreme cold; Pain management plans; Routine vaccines (pneumococcus, meningococcus, influenza); Hydroxyurea therapy","Hydroxyurea; Folic acid; Penicillin prophylaxis (peds); Analgesics (NSAIDs, opioids); L-glutamine","Hydroxyurea 15 mg/kg oral once daily (increase as tolerated) for 12 weeks; Folic acid 1 mg oral once daily; Penicillin VK 125 mg oral BID (children <3) or 250 mg BID (3–5 yr); Ibuprofen 400 mg oral TID PRN for pain; Morphine 10 mg oral Q4h PRN (severe pain)","Folate-rich foods (leafy greens, beans); Adequate protein (meat, legumes); Hydrating fruits (watermelon, cucumber); Balanced diet to prevent obesity; Iron-monitoring diet (tailored)","Excess iron (unless deficient); Dehydrating substances (caffeine); Alcohol (dehydrating); Very cold foods/drinks (may trigger crisis); Sugar-sweetened beverages"
Gout,"Severe joint pain (often big toe); Red, hot, swollen joints; Tophi (chronic urate deposits); Recurrent flares","Limit purine intake; Weight loss if overweight; Limit alcohol (esp. beer):contentReference[oaicite:47]{index=47}; Stay well-hydrated; Treat to target uric acid","Allopurinol; Febuxostat; Colchicine; NSAIDs; Probenecid","Allopurinol 300 mg oral once daily; Febuxostat 40 mg oral once daily; Colchicine 0.6 mg oral BID for 1 week (flare prevention); Ibuprofen 600 mg oral QID (during acute gout) for 5 days; Probenecid 500 mg oral BID (after flare subsides)","Low-purine diet: Dairy products; Complex carbohydrates; Cherries (may reduce attacks); Vitamin C-rich foods; Coffee (moderate intake)","High-purine foods (red meat, organ meats); Seafood (anchovies, sardines); Alcohol (beer, liquor); Sugary drinks (fructose); Shellfish"
Peptic Ulcer Disease,"Epigastric burning pain (improved with food or antacids); Nausea; Heartburn; Bloating; Dark/black stools (bleeding)","Test/treat H. pylori; Avoid NSAIDs and aspirin; Eat small frequent meals; Elevate head of bed (no nighttime reflux); Manage stress","Proton pump inhibitors (Omeprazole); H2 blockers (Ranitidine); Antibiotics (Amoxicillin, Clarithromycin); Misoprostol; Sucralfate","Omeprazole 20 mg oral BID for 4–8 weeks; Clarithromycin 500 mg oral BID × 14 days; Amoxicillin 1 g oral BID × 14 days; Sucralfate 1 g oral QID for 4 weeks; Bismuth subsalicylate 525 mg QID for 2 weeks","Frequent small meals; Lean proteins; Vegetables; Non-acidic fruits; Probiotics (yogurt)","Spicy foods; Coffee/tea (caffeine); Alcohol; High-fat fried foods; Excessive citrus or tomato-based foods"
Gastroesophageal Reflux Disease (GERD),"Heartburn (acid regurgitation); Acid taste in mouth; Chest pain; Dysphagia; Chronic cough","Elevate head of bed; Avoid late meals (3 hr before sleep); Weight loss if needed; Avoid trigger foods (spicy, chocolate, caffeine); Quit smoking","Proton pump inhibitors (Omeprazole); H2 blockers (Famotidine); Antacids; Sucralfate; Prokinetics (Metoclopramide)","Omeprazole 20 mg oral once daily 30 min before breakfast; Famotidine 20 mg oral BID; Calcium carbonate 500 mg chewable QID PRN; Sucralfate 1 g oral QID; Metoclopramide 10 mg oral TID AC (short-term)","Lean proteins; Oatmeal; Non-citrus fruits; Green leafy vegetables; Ginger tea","Spicy foods; Citrus fruits; Chocolate; Caffeine; Alcohol"
Urinary Tract Infection,"Dysuria (painful urination); Urgency and frequency; Suprapubic pain; Hematuria (sometimes); Low back pain","Drink plenty of water; Urinate after intercourse; Proper perineal hygiene; Cranberry products; Avoid holding urine","Trimethoprim/sulfamethoxazole; Nitrofurantoin; Fosfomycin; Ciprofloxacin; Phenazopyridine","Trimethoprim/sulfamethoxazole 160/800 mg oral BID for 3 days; Nitrofurantoin 100 mg oral BID for 5 days; Fosfomycin 3 g oral single dose; Ciprofloxacin 250 mg oral BID for 3 days; Phenazopyridine 200 mg oral TID for 2 days (symptomatic relief)","Plenty of fluids (water); Probiotics (yogurt); Foods rich in vitamin C (fortify urine acidity); High-fiber diet; Cranberry juice (may help)","Caffeine; Alcohol; Spicy foods; Soda; Deli meats (nitrites)"
Kidney Stones (Nephrolithiasis),"Severe flank or back pain (colicky); Hematuria; Nausea/vomiting; Urgency to urinate; Sweating","Hydration (2-3 L/day); Diet low in sodium; Avoid excessive protein; Manage obesity; Strain urine to catch stone","Pain management (NSAIDs, opioids); Alpha-blockers (Tamsulosin); Thiazide diuretics (if recurrent calcium stones); Allopurinol (if uric acid stones); Citrate supplements","Ibuprofen 400 mg oral QID PRN; Oxycodone 5–10 mg oral QID PRN for severe pain; Tamsulosin 0.4 mg oral daily for 4 weeks; Hydrochlorothiazide 25 mg oral once daily (if hypercalciuria); Potassium citrate 10 mEq oral TID","Fluids (water, citrus juices for citrate); Citrus fruits (lemon, orange); Low-oxalate vegetables; Whole grains; Calcium with meals","""High-oxalate foods (spinach, beets, nuts); Excess salt; Animal protein; Sugary drinks (soda); Excess vitamin C supplements"""
Epilepsy,"Recurrent seizures (focal or generalized); Temporary confusion; Uncontrolled jerking movements; Loss of consciousness; Psychic symptoms","Medication adherence; Avoid sleep deprivation; Limit alcohol; Safety measures (helmets, showers); Treat underlying causes","Valproate; Levetiracetam; Lamotrigine; Carbamazepine; Clonazepam","Valproate 500 mg oral BID; Levetiracetam 500 mg oral BID; Lamotrigine 100 mg oral once daily; Carbamazepine 200 mg oral BID; Clonazepam 0.5 mg oral at bedtime","Regular meals; Low-glycemic foods; Adequate hydration; Folate-rich foods (for valproate use); Mediterranean diet","Flashing lights (if photosensitive); Excess caffeine; Alcohol (lowers seizure threshold); Skip medications; Nicotine"
Migraine,"Recurrent headaches (often unilateral, throbbing); Photophobia/phonophobia; Nausea/vomiting; Aura (visual disturbances); Neck stiffness","Regular sleep; Identify and avoid triggers (stress, hunger); Caffeine moderation; Stress reduction; Migraine prophylaxis if frequent","NSAIDs (Ibuprofen); Triptans (Sumatriptan); Anti-nausea (Ondansetron); Beta-blockers (Propranolol); Antidepressants (Amitriptyline)","Sumatriptan 50 mg oral at onset of headache; Ibuprofen 400 mg oral PRN; Ondansetron 4 mg oral as needed; Propranolol 40 mg oral BID (prophylaxis); Amitriptyline 25 mg oral at bedtime (prophylaxis)","Magnesium-rich foods (nuts, whole grains); Riboflavin (Vitamin B2) foods (eggs, lean meats); Hydration; Ginger (for nausea); Balanced regular meals","Aged cheeses; Chocolate; Red wine; Processed meats (nitrites); MSG-containing foods"
